character,era,factions,portrayal
187th Legion Clone Commander,Fall of the Jedi,Galactic Empire,protagonist
2-1B,Age of Rebellion,Rebel Alliance,neutral
2-1B,Fall of the Jedi,Galactic Republic,neutral
4-LOM,Age of Rebellion,Galactic Empire,antagonist
A-wing Pilot,Age of Rebellion,Rebel Alliance,protagonist
Aayla Secura,Fall of the Jedi,"Jedi Order, Galactic Republic",protagonist
Admiral Ackbar,Age of Rebellion,Rebel Alliance,protagonist
Admiral Ackbar,Rise of the First Order,Resistance,protagonist
Admiral Raddus,Age of Rebellion,Rebel Alliance,protagonist
Agen Kolar,Fall of the Jedi,"Jedi Order, Galactic Republic",protagonist
Agent Kallus,Age of Rebellion,Galactic Empire,antagonist
Ahsoka Tano,Age of Rebellion,Rebel Alliance,protagonist
Ahsoka Tano,Fall of the Jedi,"Jedi Order, Galactic Republic",protagonist
Aldar Beedo,Fall of the Jedi,none,neutral
Allegiant General Pryde,Rise of the First Order,First Order,antagonist
Anakin Skywalker,Fall of the Jedi,"Jedi Order, Galactic Republic",protagonist
Antidar Williams,Fall of the Jedi,Galactic Republic,protagonist
Ap'lek,Rise of the First Order,First Order,antagonist
Artillery Stormtrooper,The New Republic,Galactic Empire,antagonist
Asajj Ventress,Fall of the Jedi,"Nightsisters, Sith Order, Confederation of Independent Systems",antagonist
ASP Droid,Age of Rebellion,none,neutral
Assassin Droid,Fall of the Jedi,Confederation of Independent Systems,antagonist
Astromech Droid,Rise of the First Order,Resistance,protagonist
AT-AT Driver,Age of Rebellion,Galactic Empire,antagonist
AT-DP Pilot,Age of Rebellion,Galactic Empire,antagonist
AT-M6 Driver,Rise of the First Order,First Order,antagonist
AT-ST Driver,Age of Rebellion,Galactic Empire,antagonist
Aurra Sing,Fall of the Jedi,Aurra Sing's Crew,antagonist
B'Omarr Monk,Age of Rebellion,Hutt Clan,neutral
Bail Organa,Age of Rebellion,Rebel Alliance,protagonist
Bala-Tik,Rise of the First Order,Guavian Death Gang,antagonist
Barriss Offee,Fall of the Jedi,"Galactic Republic, Jedi",protagonist
Battle Droid,Fall of the Jedi,Confederation of Independent Systems,antagonist
Battle Droid Commander,Fall of the Jedi,Confederation of Independent Systems,antagonist
Battle Droid Pilot,Fall of the Jedi,Confederation of Independent Systems,antagonist
