set_id,set_name,year,count_pieces,era,minifig_id,character,factions,portrayal
10123-1,Cloud City,2003,698,Age of Rebellion,SW0004,Darth Vader,"Sith Order, Galactic Empire",antagonist
10123-1,Cloud City,2003,698,Age of Rebellion,SW0036,Stormtrooper,Galactic Empire,antagonist
10123-1,Cloud City,2003,698,Age of Rebellion,SW0045,Han Solo,Rebel Alliance,protagonist
10123-1,Cloud City,2003,698,Age of Rebellion,SW0103,Luke Skywalker,Rebel Alliance,protagonist
10123-1,Cloud City,2003,698,Age of Rebellion,SW0104,Princess Leia,Rebel Alliance,protagonist
10123-1,Cloud City,2003,698,Age of Rebellion,SW0105,Lando Calrissian,Rebel Alliance,protagonist
10123-1,Cloud City,2003,698,Age of Rebellion,SW0107,Boba Fett,Galactic Empire,antagonist
10123-1,Cloud City,2003,698,Age of Rebellion,SW0984,Han Solo,Rebel Alliance,protagonist
10144-1,Sandcrawler,2005,1669,Age of Rebellion,SW0010,C-3PO,Rebel Alliance,protagonist
10144-1,Sandcrawler,2005,1669,Age of Rebellion,SW0028,R2-D2,Rebel Alliance,protagonist
10144-1,Sandcrawler,2005,1669,Age of Rebellion,SW0073,Gonk Droid,none,neutral
10144-1,Sandcrawler,2005,1669,Age of Rebellion,SW0140,Owen Lars,none,protagonist
10144-1,Sandcrawler,2005,1669,Age of Rebellion,SW0141,Jawa,none,neutral
10144-1,Sandcrawler,2005,1669,Age of Rebellion,SW0142,R5-D4,none,neutral
10144-1,Sandcrawler,2005,1669,Age of Rebellion,SW0145,ASP Droid,none,neutral
10144-1,Sandcrawler,2005,1669,Age of Rebellion,SW0146,Treadwell Droid,none,neutral
10144-1,Sandcrawler,2005,1669,Age of Rebellion,SW0147,R1-G4,none,neutral
10178-1,Motorized Walking AT-AT,2007,1137,Age of Rebellion,SW0090,Luke Skywalker,Rebel Alliance,protagonist
10178-1,Motorized Walking AT-AT,2007,1137,Age of Rebellion,SW0115,Snowtrooper,Galactic Empire,antagonist
10178-1,Motorized Walking AT-AT,2007,1137,Age of Rebellion,SW0177,AT-AT Driver,Galactic Empire,antagonist
10178-1,Motorized Walking AT-AT,2007,1137,Age of Rebellion,SW0178,General Veers,Galactic Empire,antagonist
10195-1,Republic Dropship with AT-OT Walker,2009,1758,Fall of the Jedi,SW0191,Clone Pilot,Galactic Republic,protagonist
