minifig_id,character
SW0001,Battle Droid
SW0002,Boba Fett
SW0003,Darth Maul
SW0004,Darth Vader
SW0005,Scout Trooper
SW0006,Aldar Beedo
SW0007,Anakin Skywalker
SW0008,Anakin Skywalker
SW0009,Biggs Darklighter
SW0010,C-3PO
SW0011,Chewbacca
SW0012,Dak Ralter
SW0013,Gungan Warrior
SW0014,Han Solo
SW0015,Han Solo
SW0016,Hoth Rebel Trooper
SW0017,Jar-Jar Binks
SW0018,Luke Skywalker
SW0019,Luke Skywalker
SW0020,Luke Skywalker
SW0021,Luke Skywalker
SW0022,Naboo Security Guard
SW0023,Obi-Wan Kenobi
SW0024,Obi-Wan Kenobi
SW0025,Padmé Amidala
SW0026,Princess Leia
SW0027,Qui-Gon Jinn
SW0028,R2-D2
SW0029,R5-D4
SW0030,Rebel Engineer
SW0031,Rebel Pilot
SW0032,Rebel Pilot
SW0033,Jon Vander
SW0034,Rebel Engineer
SW0035,TIE Fighter Pilot
SW0036,Stormtrooper
SW0037,Pit Droid
SW0038,Watto
SW0039,Pit Droid
SW0040,Royal Guard
SW0041,Palpatine
SW0042,Imperial Shuttle Pilot
SW0043,Gasgano
SW0045,Han Solo
SW0046,Imperial Officer
SW0047,Battle Droid Security
SW0048,Battle Droid Commander
SW0049,Lobot
SW0050,Wicket W. Warrick
SW0051,Yoda
SW0052,Tusken Raider
SW0053,Jango Fett
SW0054,Boba Fett
SW0055,Obi-Wan Kenobi
SW0056,Super Battle Droid
SW0057,Jedi Knight
SW0058,Clone Trooper
SW0059,Zam Wesell
SW0060,Count Dooku
SW0061,Battle Droid
SW0062,Geonosian
SW0063,Droideka
SW0064,Pit Droid
SW0065,Battle Droid Pilot
SW0067,Paploo
SW0068,Luke Skywalker
SW0069,Obi-Wan Kenobi
SW0070,Princess Leia
SW0071,Jabba the Hutt
SW0072,EV-9D9
SW0073,Gonk Droid
SW0074,B'Omarr Monk
SW0075,Gamorrean Guard
SW0076,Bib Fortuna
SW0077,T-16 Skyhopper Pilot
SW0078,Geonosian Warrior
SW0079,Luke Skywalker
SW0080,Snowtrooper
SW0081,Han Solo
SW0082,Rebel Engineer
SW0083,Luke Skywalker
SW0084,Han Solo
SW0085,Princess Leia
SW0086,Lando Calrissian
SW0087,Gamorrean Guard
SW0088,Han Solo
SW0089,Wedge Antilles
SW0090,Luke Skywalker
SW0091,Clone Trooper
SW0092,Super Battle Droid
SW0093,AT-ST Driver
SW0094,Jon Vander
SW0095,Battle Droid Pilot
SW0096,Battle Droid Security
SW0098,Luke Skywalker
SW0099,Anakin Skywalker
SW0100,Anakin Skywalker
SW0101,Snowtrooper
SW0102,AT-AT Driver
SW0103,Luke Skywalker
SW0104,Princess Leia
SW0105,Lando Calrissian
SW0106,Luke Skywalker
SW0107,Boba Fett
SW0108,Hoth Rebel Trooper
SW0109,Sandtrooper
SW0110,Greedo
SW0111,Han Solo
SW0113,Princess Leia
