set_id,set_name,year,count_pieces,era
10123-1,Cloud City,2003,698,Age of Rebellion
10144-1,Sandcrawler,2005,1669,Age of Rebellion
10178-1,Motorized Walking AT-AT,2007,1137,Age of Rebellion
10195-1,Republic Dropship with AT-OT Walker,2009,1758,Fall of the Jedi
10198-1,Tantive IV,2009,1408,Age of Rebellion
30004-1,Battle Droid on STAP,2009,28,Fall of the Jedi
30005-1,Imperial Speeder Bike,2009,33,Age of Rebellion
30006-1,Clone Walker,2009,31,Fall of the Jedi
30058-1,STAP,2012,24,Fall of the Jedi
40557-1,Defense of Hoth,2022,64,Age of Rebellion
40558-1,Clone Trooper Command Station,2022,66,Fall of the Jedi
4475-1,Jabba's Message,2003,44,Age of Rebellion
4476-1,Jabba's Prize,2003,40,Age of Rebellion
4477-1,T-16 Skyhopper,2003,98,Age of Rebellion
4478-1,Geonosian Fighter,2003,170,Fall of the Jedi
4479-1,TIE Bomber,2003,230,Age of Rebellion
4480-1,Jabba's Palace,2003,231,Age of Rebellion
4482-1,AT-TE,2003,658,Fall of the Jedi
4483-1,AT-AT,2003,1064,Age of Rebellion
4500-1,Rebel Snowspeeder,2004,214,Age of Rebellion
4501-1,Mos Eisley Cantina,2004,193,Age of Rebellion
4502-1,X-wing Fighter,2004,563,Age of Rebellion
4504-1,Millennium Falcon,2004,985,Age of Rebellion
6205-1,V-wing Fighter,2006,118,Fall of the Jedi
6206-1,TIE Interceptor,2006,212,Age of Rebellion
6207-1,A-wing Fighter,2006,194,Age of Rebellion
6208-1,B-wing Fighter,2006,435,Age of Rebellion
6209-1,Slave I,2006,537,Age of Rebellion
6210-1,Jabba's Sail Barge,2006,781,Age of Rebellion
6211-1,Imperial Star Destroyer,2006,1367,Age of Rebellion
6212-1,X-wing Fighter,2006,437,Age of Rebellion
7101-1,Lightsaber Duel,1999,52,Fall of the Jedi
7103-1,Jedi Duel,2002,82,Fall of the Jedi
7104-1,Desert Skiff,2000,55,Age of Rebellion
7106-1,Droid Escape,2001,45,Age of Rebellion
7110-1,Landspeeder,1999,49,Age of Rebellion
7113-1,Tusken Raider Encounter,2002,93,Fall of the Jedi
7115-1,Gungan Patrol,2000,77,Fall of the Jedi
7119-1,Twin-Pod Cloud Car,2002,118,Age of Rebellion
7121-1,Naboo Swamp,1999,82,Fall of the Jedi
7124-1,Flash Speeder,2000,106,Fall of the Jedi
7126-1,Battle Droid Carrier,2001,133,Fall of the Jedi
7127-1,Imperial AT-ST,2001,107,Age of Rebellion
7128-1,Speeder Bikes,1999,93,Age of Rebellion
7130-1,Snowspeeder,1999,215,Age of Rebellion
7131-1,Anakin's Podracer,1999,136,Fall of the Jedi
7133-1,Bounty Hunter Pursuit,2002,259,Fall of the Jedi
7134-1,A-wing Fighter,2000,125,Age of Rebellion
7139-1,Ewok Attack,2002,121,Age of Rebellion
7140-1,X-wing Fighter,1999,266,Age of Rebellion
7141-1,Naboo Fighter,1999,179,Fall of the Jedi
7142-1,X-wing Fighter,2002,267,Age of Rebellion
7143-1,Jedi Starfighter,2002,138,Fall of the Jedi
7144-1,Slave I,2000,166,Age of Rebellion
7146-1,TIE Fighter,2001,171,Age of Rebellion
7150-1,TIE Fighter and Y-wing,1999,409,Age of Rebellion
7151-1,Sith Infiltrator,1999,244,Fall of the Jedi
7152-1,TIE Fighter and Y-wing,2002,410,Age of Rebellion
7153-1,Jango Fett's Slave I,2002,369,Fall of the Jedi
7155-1,Trade Federation AAT,2000,158,Fall of the Jedi
7159-1,Star Wars Podracing Bucket,2000,292,Fall of the Jedi
7161-1,Gungan Sub,1999,379,Fall of the Jedi
7163-1,Republic Gunship,2002,686,Fall of the Jedi
7166-1,Imperial Shuttle,2001,238,Age of Rebellion
7171-1,Mos Espa Podrace,1999,896,Fall of the Jedi
7180-1,B-wing at Rebel Control Center,2000,338,Age of Rebellion
7184-1,Trade Federation MTT,2000,470,Fall of the Jedi
7186-1,Watto's Junkyard,2001,443,Fall of the Jedi
7190-1,Millennium Falcon,2000,663,Age of Rebellion
7200-1,Final Duel I,2002,29,Age of Rebellion
7201-1,Final Duel II,2002,23,Age of Rebellion
7203-1,Jedi Defense I,2002,59,Fall of the Jedi
7204-1,Jedi Defense II,2002,53,Fall of the Jedi
7250-1,Clone Scout Walker,2005,108,Fall of the Jedi
7251-1,Darth Vader Transformation,2005,53,Fall of the Jedi
7252-1,Droid Tri-Fighter,2005,148,Fall of the Jedi
7255-1,General Grievous Chase,2005,111,Fall of the Jedi
7256-1,Jedi Starfighter and Vulture Droid,2005,202,Fall of the Jedi
7257-1,Ultimate Lightsaber Duel,2005,282,Fall of the Jedi
7258-1,Wookiee Attack,2005,366,Fall of the Jedi
7259-1,ARC-170 Fighter,2005,396,Fall of the Jedi
7260-1,Wookiee Catamaran,2005,376,Fall of the Jedi
7261-1,Clone Turbo Tank,2005,801,Fall of the Jedi
7261-2,Clone Turbo Tank,2006,813,Fall of the Jedi
7262-1,TIE Fighter and Y-Wing,2004,412,Age of Rebellion
7263-1,TIE Fighter,2005,159,Age of Rebellion
7264-1,Imperial Inspection,2005,367,Age of Rebellion
7283-1,Ultimate Space Battle,2005,567,Fall of the Jedi
75000-1,Clone Troopers vs. Droidekas,2013,124,Fall of the Jedi
75002-1,AT-RT,2013,222,Fall of the Jedi
75003-1,A-wing Starfighter,2013,177,Age of Rebellion
75004-1,Z-95 Headhunter,2013,373,Fall of the Jedi
75005-1,Rancor Pit,2013,380,Age of Rebellion
75012-1,BARC Speeder with Sidecar,2013,226,Fall of the Jedi
75013-1,Umbaran MHC,2013,493,Fall of the Jedi
75014-1,Battle of Hoth,2013,426,Age of Rebellion
75015-1,Corporate Alliance Tank Droid,2013,271,Fall of the Jedi
75016-1,Homing Spider Droid,2013,295,Fall of the Jedi
75017-1,Duel on Geonosis,2013,391,Fall of the Jedi
75019-1,AT-TE,2013,794,Fall of the Jedi
75020-1,Jabba's Sail Barge,2013,850,Age of Rebellion
75021-1,Republic Gunship,2013,1175,Fall of the Jedi
75022-1,Mandalorian Speeder,2013,211,Fall of the Jedi
75024-1,HH-87 Starhopper,2013,362,Fall of the Jedi
75034-1,Death Star Troopers,2014,102,Age of Rebellion
75035-1,Kashyyyk Troopers,2014,99,Fall of the Jedi
75036-1,Utapau Troopers,2014,83,Fall of the Jedi
75037-1,Battle on Saleucami,2014,183,Fall of the Jedi
75038-1,Jedi Interceptor,2014,223,Fall of the Jedi
75039-1,V-wing Starfighter,2014,201,Fall of the Jedi
75040-1,General Grievous' Wheel Bike,2014,261,Fall of the Jedi
75041-1,Vulture Droid,2014,205,Fall of the Jedi
75042-1,Droid Gunship,2014,439,Fall of the Jedi
75043-1,AT-AP,2014,717,Fall of the Jedi
75044-1,Droid Tri-Fighter,2014,262,Fall of the Jedi
75045-1,Republic AV-7 Anti-Vehicle Cannon,2014,434,Fall of the Jedi
75046-1,Coruscant Police Gunship,2014,481,Fall of the Jedi
75048-1,The Phantom,2014,234,Age of Rebellion
75049-1,Snowspeeder,2014,278,Age of Rebellion
75050-1,B-Wing,2014,448,Age of Rebellion
75052-1,Mos Eisley Cantina,2014,615,Age of Rebellion
75053-1,The Ghost,2014,929,Age of Rebellion
75054-1,AT-AT,2014,1137,Age of Rebellion
75055-1,Imperial Star Destroyer,2014,1359,Age of Rebellion
75058-1,MTT,2014,954,Fall of the Jedi
75078-1,Imperial Troop Transport,2015,141,Age of Rebellion
